rang,proba,effort_ebird,x_centre,y_centre
1,0.9445,0,-283477.2,210897.4
2,0.944,0,-315477.2,208897.4
3,0.9377,0,-296477.2,220897.4
4,0.9371,0,-299477.2,176897.4
5,0.9348,0,-295477.2,184897.4
6,0.9348,0,-275477.2,173897.4
7,0.9323,0,-316477.2,217897.4
8,0.9293,0,-315477.2,216897.4
